key,name_ru,state,source_kind,confidence_tier,confidence_score,review_status,assumed_zero_count,issues,source_id,source_dataset,source_version,source_url
anchovies_canned_oil_spp,"Анчоусы в масле, консервированные, без масла",canned,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,5,REVIEW_REQUIRED,LOGIC_PROXY:anchovies_canned_oil_spp,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/anchovies_canned_oil_spp
canola_oil_other,Масло рапсовое (канола),raw,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,27,REVIEW_REQUIRED,LOGIC_PROXY:canola_oil_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/canola_oil_other
cucumber_pickled,Огурцы маринованные,pickled,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,4,REVIEW_REQUIRED,LOGIC_PROXY:cucumber_pickled,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/cucumber_pickled
curd_grain,Творог зернёный (2% жирности),raw,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,4,REVIEW_REQUIRED,LOGIC_PROXY:curd_grain,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/curd_grain
ketchup_other,Кетчуп,prepared,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,2,REVIEW_REQUIRED,LOGIC_PROXY:ketchup_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/ketchup_other
mustard_other,Горчица столовая,prepared,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,2,REVIEW_REQUIRED,LOGIC_PROXY:mustard_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/mustard_other
olive_oil_evoo_other,"Масло оливковое, extra virgin",raw,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,22,REVIEW_REQUIRED,LOGIC_PROXY:olive_oil_evoo_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/olive_oil_evoo_other
pickles_dill_other,"Огурцы маринованные (солёные), без рассола",prepared,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,5,REVIEW_REQUIRED,USDA_SR_LEGACY_NDB:11937,USDA_FOODDATA_CENTRAL_SR_LEGACY_2018,"v5.3.68 product DB QA pass, 2026-07-08",https://fdc.nal.usda.gov/food-search/
radish_raw,Редис (сырой),raw,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,3,REVIEW_REQUIRED,LOGIC_PROXY:radish_raw,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/radish_raw
sorghum,"Сорго, сухое зерно (приближённый профиль)",dry,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,5,REVIEW_REQUIRED,LOGIC_PROXY:sorghum,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/sorghum
sugar_white_other,Сахар белый (песок),raw,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,25,REVIEW_REQUIRED,LOGIC_PROXY:sugar_white_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/sugar_white_other
sunflower_oil_other,"Масло подсолнечное, рафинированное",raw,BORROWED_PROXY,LOW,0.52,REVIEW_REQUIRED,25,REVIEW_REQUIRED,LOGIC_PROXY:sunflower_oil_other,INTERNAL_LOGIC_PROXY_FROM_CURRENT_DB_KBJU_AND_FOOD_CLASS,"v5.3.68 product DB QA pass, 2026-07-08",internal://nutrition-calculator/logic-proxy/v5.3.68/sunflower_oil_other
